"tipo_alteracao";"categoria_alteracao";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"derivados_tempo";"1-1990548";"1-1990548";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992124";"1-1992124";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992125";"1-1992125";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992126";"1-1992126";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992127";"1-1992127";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992130";"1-1992130";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992131";"1-1992131";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992132";"1-1992132";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992133";"1-1992133";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992136";"1-1992136";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992137";"1-1992137";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992138";"1-1992138";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1992139";"1-1992139";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-1999907";"1-1999907";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-2011597";"1-2011597";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"1-2021587";"1-2021587";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"960414";"1-1965594";"prazo_pub_licitacao_calc";"2025-02-11";""
"alterado";"derivados_tempo";"960414";"1-1965594";"prazo_homolog_licitacao_calc";"2024-07-31";"2026-06-01"
"alterado";"derivados_tempo";"960414";"1-1965594";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"960414";"1-1965594";"status_homolog_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"963314";"1-1994107";"prazo_pub_licitacao_calc";"2025-03-12";""
"alterado";"derivados_tempo";"963314";"1-1994107";"prazo_homolog_licitacao_calc";"2025-03-22";"2026-06-01"
"alterado";"derivados_tempo";"963314";"1-1994107";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"963314";"1-1994107";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964465";"1-1982724";"prazo_pub_licitacao_calc";"2025-10-07";""
"alterado";"derivados_tempo";"964465";"1-1982724";"status_regra_casa_civil_calc";"Não cumpriu";"Cumpriu"
"alterado";"derivados_tempo";"964465";"1-1982724";"prazo_homolog_licitacao_calc";"2026-03-12";"2026-06-01"
"alterado";"derivados_tempo";"964465";"1-1982724";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"964465";"1-1982724";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964468";"1-1982733";"prazo_pub_licitacao_calc";"2025-07-11";""
"alterado";"derivados_tempo";"964468";"1-1982733";"prazo_homolog_licitacao_calc";"2025-10-28";"2026-06-01"
"alterado";"derivados_tempo";"964468";"1-1982733";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964468";"1-1982733";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964472";"1-1990220";"prazo_pub_licitacao_calc";"2026-07-23";""
"alterado";"derivados_tempo";"964472";"1-1990220";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964472";"1-1990220";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"964472";"1-1990220";"status_homolog_licitacao_calc";"Inconsistência de base";""
"alterado";"derivados_tempo";"964474";"1-1985807";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964478";"1-1983783";"prazo_pub_licitacao_calc";"2026-05-29";""
"alterado";"derivados_tempo";"964478";"1-1983783";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964478";"1-1983783";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"964480";"1-1989406";"prazo_pub_licitacao_calc";"2026-01-13";""
"alterado";"derivados_tempo";"964480";"1-1989406";"prazo_homolog_licitacao_calc";"2026-05-14";"2026-06-01"
"alterado";"derivados_tempo";"964480";"1-1989406";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"964480";"1-1989406";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964483";"1-1982978";"prazo_pub_licitacao_calc";"2026-05-09";""
"alterado";"derivados_tempo";"964483";"1-1982978";"prazo_homolog_licitacao_calc";"2026-07-07";"2026-06-01"
"alterado";"derivados_tempo";"964483";"1-1982978";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964483";"1-1982978";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964485";"1-1984603";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964487";"1-1983173";"prazo_pub_licitacao_calc";"2026-04-29";""
"alterado";"derivados_tempo";"964487";"1-1983173";"status_regra_casa_civil_calc";"Não cumpriu";"Cumpriu"
"alterado";"derivados_tempo";"964487";"1-1983173";"prazo_homolog_licitacao_calc";"2026-05-16";"2026-06-01"
"alterado";"derivados_tempo";"964487";"1-1983173";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964487";"1-1983173";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964490";"1-1986926";"prazo_pub_licitacao_calc";"2026-04-28";""
"alterado";"derivados_tempo";"964490";"1-1986926";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964490";"1-1986926";"status_pub_licitacao_calc";"Próximos 30 dias";""
"alterado";"derivados_tempo";"964493";"1-1984020";"prazo_pub_licitacao_calc";"2025-04-16";""
"alterado";"derivados_tempo";"964493";"1-1984020";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964493";"1-1984020";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"964495";"1-1991760";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"964497";"1-1992052";"prazo_pub_licitacao_calc";"2026-04-15";""
"alterado";"derivados_tempo";"964497";"1-1992052";"prazo_homolog_licitacao_calc";"2026-06-03";"2026-06-01"
"alterado";"derivados_tempo";"964497";"1-1992052";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964497";"1-1992052";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"964499";"1-1990558";"prazo_pub_licitacao_calc";"2026-01-03";""
"alterado";"derivados_tempo";"964499";"1-1990558";"prazo_homolog_licitacao_calc";"2026-05-21";"2026-06-01"
"alterado";"derivados_tempo";"964499";"1-1990558";"status_pub_licitacao_calc";"Concluída em atraso";""
