"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964472";"1-1990220";"dte_vrpl_tdb";"2026-01-08";""
"alterado";"dados_e_derivados";"derivado_regra";"964472";"1-1990220";"fase_atual_calc";"VRPL";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964472";"1-1990220";"dias_homologacao_ate_vrpl_calc";"56";""
"alterado";"dados_e_derivados";"dados_origem";"964474";"1-1985807";"dte_primeira_data_lae_tdb";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"964474";"1-1985807";"ultima_data_relevante_calc";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"964474";"1-1985807";"fase_atual_calc";"SUSPENSIVA RETIRADA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964840";"1-1991705";"dte_vrpl_tdb";"2025-09-15";"2026-03-10"
"alterado";"dados_e_derivados";"derivado_regra";"964840";"1-1991705";"dias_homologacao_ate_vrpl_calc";"159";"335"
"alterado";"dados_e_derivados";"derivado_regra";"964840";"1-1991705";"dias_vrpl_ate_aio_calc";"177";"1"
"alterado";"dados_e_derivados";"dados_origem";"964938";"1-1989254";"dte_vrpl_tdb";"2025-08-21";""
"alterado";"dados_e_derivados";"derivado_regra";"964938";"1-1989254";"fase_atual_calc";"VRPL";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964938";"1-1989254";"dias_homologacao_ate_vrpl_calc";"64";""
"alterado";"dados_e_derivados";"dados_origem";"964939";"1-1991759";"dte_vrpl_tdb";"2025-12-19";""
"alterado";"dados_e_derivados";"derivado_regra";"964939";"1-1991759";"fase_atual_calc";"VRPL";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964940";"1-1986076";"dte_vrpl_tdb";"2025-11-14";""
"alterado";"dados_e_derivados";"derivado_regra";"964940";"1-1986076";"fase_atual_calc";"VRPL";"PUBLICACAO LICITACAO"
"alterado";"dados_e_derivados";"dados_origem";"964953";"1-1985135";"dte_primeira_data_lae_tdb";"";"2026-04-28"
"alterado";"dados_e_derivados";"derivado_regra";"964953";"1-1985135";"ultima_data_relevante_calc";"";"2026-04-28"
"alterado";"dados_e_derivados";"derivado_regra";"964953";"1-1985135";"fase_atual_calc";"SUSPENSIVA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964964";"1-1990437";"dte_primeira_data_lae_tdb";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"964964";"1-1990437";"ultima_data_relevante_calc";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"964964";"1-1990437";"fase_atual_calc";"SUSPENSIVA RETIRADA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964975";"1-1984269";"dte_vrpl_tdb";"2025-10-31";""
"alterado";"dados_e_derivados";"derivado_regra";"964975";"1-1984269";"fase_atual_calc";"VRPL";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964975";"1-1984269";"dias_homologacao_ate_vrpl_calc";"95";""
"alterado";"dados_e_derivados";"dados_origem";"964976";"1-1984954";"dte_vrpl_tdb";"2025-12-29";""
"alterado";"dados_e_derivados";"derivado_regra";"964976";"1-1984954";"fase_atual_calc";"VRPL";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964976";"1-1984954";"dias_homologacao_ate_vrpl_calc";"389";""
"alterado";"dados_e_derivados";"dados_origem";"965235";"1-1994644";"dte_vrpl_tdb";"2025-03-06";"2025-03-27"
"alterado";"dados_e_derivados";"derivado_regra";"965235";"1-1994644";"dias_homologacao_ate_vrpl_calc";"1106";"1127"
"alterado";"dados_e_derivados";"derivado_regra";"965235";"1-1994644";"dias_vrpl_ate_aio_calc";"36";"15"
"alterado";"dados_e_derivados";"dados_origem";"965406";"1-1983067";"dte_vrpl_tdb";"2025-05-15";""
"alterado";"dados_e_derivados";"derivado_regra";"965406";"1-1983067";"fase_atual_calc";"VRPL";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"965406";"1-1983067";"dias_homologacao_ate_vrpl_calc";"35";""
"alterado";"dados_e_derivados";"dados_origem";"965411";"1-1990186";"dte_primeira_data_lae_tdb";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"965411";"1-1990186";"ultima_data_relevante_calc";"";"2026-04-27"
"alterado";"dados_e_derivados";"derivado_regra";"965411";"1-1990186";"fase_atual_calc";"SUSPENSIVA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"965732";"1-1991771";"dte_vrpl_tdb";"2025-05-06";""
"alterado";"dados_e_derivados";"derivado_regra";"965732";"1-1991771";"fase_atual_calc";"VRPL";"HOMOLOGACAO"
